event_type,event_cause,priority,requires_road_closure,zone,junction,start_datetime,end_datetime,latitude,longitude,hour,weekday,is_weekend,time_of_day,duration_minutes,congestion_score,congestion_proxy_label
unplanned,water_logging,High,False,Unknown,Unknown,2024-03-07 18:01:40.182000+00:00,2024-03-14 05:49:58.160944998+00:00,13.0008457,77.6813712,18.0,3.0,0,evening_peak,9348.299649083334,17.0,High
unplanned,vehicle_breakdown,High,False,Unknown,MysoreRd-RingRdJunc(Nayandanahallii),2024-01-30 05:21:06.975000+00:00,2024-01-30 06:02:13.139789502+00:00,12.94457,77.5274017,5.0,1.0,0,night,41.102746491666664,12.0,Medium
unplanned,water_logging,High,False,Unknown,Unknown,2024-03-07 18:00:05.020000+00:00,2024-03-10 07:28:24.865295002+00:00,12.9995223,77.6827499,18.0,3.0,0,evening_peak,3688.3307549166666,17.0,High
unplanned,others,High,False,North Zone 1,HebbalFlyoverJunc,2023-12-26 19:15:28.124000+00:00,2024-03-07 19:10:20.402868998+00:00,13.0418933,77.594705,19.0,1.0,0,evening_peak,103674.87131448333,12.0,Medium
unplanned,pot_holes,High,False,Unknown,Unknown,2024-03-07 19:26:15.604000+00:00,2024-03-16 05:28:27.836387998+00:00,12.975285,77.6256902,19.0,3.0,0,evening_peak,12122.203873133334,12.0,Medium
unplanned,others,High,False,Unknown,Unknown,2024-03-07 19:10:21.930000+00:00,2024-03-08 02:06:30.148143498+00:00,13.0633917,77.5933483,19.0,3.0,0,evening_peak,416.1369690583333,12.0,Medium
unplanned,others,High,False,Unknown,Unknown,2024-03-07 19:11:15.565000+00:00,2024-03-08 02:07:23.783143498+00:00,13.063425,77.5933,19.0,3.0,0,evening_peak,416.1369690583333,12.0,Medium
unplanned,others,High,False,Unknown,Unknown,2024-03-07 19:18:29.890000+00:00,2024-03-08 02:14:38.108143498+00:00,13.0254527,77.6417388,19.0,3.0,0,evening_peak,416.1369690583333,12.0,Medium
unplanned,tree_fall,Low,False,Unknown,Unknown,2024-03-07 19:39:29.764000+00:00,2024-03-08 00:32:50.464450+00:00,12.9233517,77.5904883,19.0,3.0,0,evening_peak,293.3450075,12.0,Medium
unplanned,vehicle_breakdown,High,False,Unknown,Unknown,2024-01-30 04:49:17.231000+00:00,2024-01-30 05:30:23.395789502+00:00,13.0001393,77.5840594,4.0,1.0,0,night,41.102746491666664,12.0,Medium
unplanned,vehicle_breakdown,High,False,Unknown,Unknown,2024-03-07 19:25:04.302000+00:00,2024-03-07 19:52:19.227138+00:00,12.9071221,77.6286395,19.0,3.0,0,evening_peak,27.2487523,15.0,High
unplanned,tree_fall,Low,True,Unknown,Unknown,2024-03-07 19:45:16.034000+00:00,2024-03-09 20:33:47.282786+00:00,12.927375,77.5806883,19.0,3.0,0,evening_peak,2928.5208131000004,17.0,High
unplanned,pot_holes,Low,False,South Zone 1,28thMainJayanagarJunc,2024-01-05 22:35:41.185000+00:00,2024-03-07 19:48:05.331209998+00:00,12.9169074,77.5950955,22.0,4.0,0,night,89112.40243683333,5.0,Low
unplanned,pot_holes,Low,False,Unknown,Unknown,2024-01-30 08:32:47.117000+00:00,2024-02-07 18:34:59.349387998+00:00,12.9667047,77.6615983,8.0,1.0,0,morning_peak,12122.203873133334,8.0,Low
unplanned,water_logging,Low,False,Unknown,Unknown,2024-03-07 19:55:24.461000+00:00,2024-03-10 09:23:44.306295002+00:00,12.8966387,77.7202071,19.0,3.0,0,evening_peak,3688.3307549166666,13.0,Medium
unplanned,tree_fall,Low,True,Unknown,Unknown,2024-03-07 06:09:19.361000+00:00,2024-03-07 20:12:38.802518+00:00,12.9463911,77.597326,6.0,3.0,0,night,843.3240253,14.0,Medium
unplanned,pot_holes,High,False,Unknown,Unknown,2024-01-30 08:35:04.399000+00:00,2024-02-07 18:37:16.631387998+00:00,12.9856042,77.5977438,8.0,1.0,0,morning_peak,12122.203873133334,10.0,Medium
unplanned,vehicle_breakdown,High,False,Unknown,Unknown,2024-01-30 08:12:47.138000+00:00,2024-01-30 08:53:53.302789502+00:00,12.9077383,77.6005709,8.0,1.0,0,morning_peak,41.102746491666664,15.0,High
unplanned,pot_holes,Low,False,Unknown,Unknown,2024-01-30 08:25:57.212000+00:00,2024-01-30 08:35:01.998606998+00:00,12.9635109,77.6642122,8.0,1.0,0,morning_peak,9.079776783333333,8.0,Low
unplanned,pot_holes,Low,False,Unknown,Unknown,2024-01-30 08:31:37.367000+00:00,2024-02-07 18:33:49.599387998+00:00,12.9667073,77.6615616,8.0,1.0,0,morning_peak,12122.203873133334,8.0,Low
unplanned,pot_holes,Low,False,Unknown,Unknown,2024-01-30 08:33:55.212000+00:00,2024-02-07 18:36:07.444387998+00:00,12.9666867,77.6616478,8.0,1.0,0,morning_peak,12122.203873133334,8.0,Low
unplanned,vehicle_breakdown,High,True,Unknown,Unknown,2024-01-30 08:08:05.581000+00:00,2024-01-30 08:49:11.745789502+00:00,12.907814,77.6006561,8.0,1.0,0,morning_peak,41.102746491666664,20.0,High
unplanned,vehicle_breakdown,High,False,Unknown,Unknown,2024-01-30 05:43:18.534000+00:00,2024-01-30 06:24:24.698789502+00:00,12.8955737,77.5993711,5.0,1.0,0,night,41.102746491666664,12.0,Medium
unplanned,tree_fall,Low,False,Unknown,Unknown,2024-03-07 20:06:03.523000+00:00,2024-03-09 20:33:44.935343002+00:00,12.92757,77.5832051,20.0,3.0,0,night,2907.6902057166667,9.0,Low
unplanned,congestion,High,False,Unknown,Unknown,2024-01-30 05:38:15.485000+00:00,2024-01-30 06:49:47.603769002+00:00,13.044697,77.5828546,5.0,1.0,0,night,71.53531281666667,14.0,Medium
unplanned,pot_holes,Low,False,Unknown,Unknown,2024-01-30 08:35:57.672000+00:00,2024-02-07 18:38:09.904387998+00:00,12.9666885,77.6616396,8.0,1.0,0,morning_peak,12122.203873133334,8.0,Low
unplanned,vehicle_breakdown,High,False,Unknown,Unknown,2024-03-07 20:17:50.952000+00:00,2024-03-07 20:58:57.116789502+00:00,12.9789228,77.5644032,20.0,3.0,0,night,41.102746491666664,12.0,Medium
unplanned,accident,Low,False,Unknown,Unknown,2024-01-30 03:52:59.126038+00:00,2024-01-30 04:34:41.419382500+00:00,12.8636494,77.6725849,3.0,1.0,0,night,41.704889075,11.0,Medium
unplanned,vehicle_breakdown,High,False,Unknown,Unknown,2024-01-30 15:15:10.139000+00:00,2024-01-30 15:56:16.303789502+00:00,12.9219483,77.6002467,15.0,1.0,0,midday,41.102746491666664,13.5,Medium
unplanned,pot_holes,Low,False,Unknown,Unknown,2024-01-30 08:37:16.322000+00:00,2024-02-07 18:39:28.554387998+00:00,12.9666597,77.661556,8.0,1.0,0,morning_peak,12122.203873133334,8.0,Low
planned,construction,High,False,Unknown,Unknown,2024-01-30 11:31:12.848000+00:00,2024-01-30 11:31:45.999999998+00:00,12.946469,77.6986754,11.0,1.0,0,midday,0.5525333333333333,11.5,Medium
unplanned,others,High,True,Unknown,Unknown,2024-03-07 20:20:31.140000+00:00,2024-03-07 22:06:56.289070002+00:00,12.9936273,77.5844677,20.0,3.0,0,night,106.41915116666668,14.0,Medium
unplanned,vehicle_breakdown,High,False,Unknown,Unknown,2024-01-30 20:38:19.329000+00:00,2024-01-30 21:19:25.493789502+00:00,12.9465079,77.6986339,20.0,1.0,0,night,41.102746491666664,12.0,Medium
unplanned,vehicle_breakdown,Low,False,Unknown,Unknown,2024-03-07 18:29:50.857000+00:00,2024-03-07 19:10:57.021789502+00:00,13.0467058,77.5036495,18.0,3.0,0,evening_peak,41.102746491666664,11.0,Medium
unplanned,vehicle_breakdown,Low,False,West Zone 1,Peenya14thCrossJunc,2023-12-28 06:06:26.375000+00:00,2023-12-28 06:47:32.539789502+00:00,13.0166142,77.5054464,6.0,3.0,0,night,41.102746491666664,8.0,Low
planned,construction,Low,True,Unknown,Unknown,2024-01-30 21:21:10.303000+00:00,2024-01-31 09:27:43.290999999+00:00,13.0085677,77.6131497,21.0,1.0,0,night,726.5498,11.0,Medium
unplanned,vehicle_breakdown,High,False,Unknown,Unknown,2024-01-30 19:33:25.417000+00:00,2024-01-30 20:14:31.581789502+00:00,13.0309717,77.5364661,19.0,1.0,0,evening_peak,41.102746491666664,15.0,High
unplanned,others,High,False,Unknown,Unknown,2024-03-07 20:27:15.443000+00:00,2024-03-07 22:40:47.232951998+00:00,13.0262806,77.5442344,20.0,3.0,0,night,133.52983253333335,9.0,Low
unplanned,tree_fall,High,False,Unknown,Unknown,2024-03-07 20:41:41.999000+00:00,2024-03-09 03:11:00.032388002+00:00,12.9938639,77.5844374,20.0,3.0,0,night,1829.3005564666666,13.0,Medium
unplanned,vehicle_breakdown,High,False,Unknown,Unknown,2024-01-30 21:27:52.454000+00:00,2024-01-30 22:23:24.957711002+00:00,12.9188682,77.6687736,21.0,1.0,0,night,55.541728516666666,12.0,Medium
unplanned,congestion,High,False,Unknown,Unknown,2024-01-30 20:46:34.356000+00:00,2024-01-30 21:58:06.474769002+00:00,12.9546127,77.6423399,20.0,1.0,0,night,71.53531281666667,14.0,Medium
unplanned,vehicle_breakdown,High,False,Unknown,Unknown,2024-01-30 21:13:55.445000+00:00,2024-01-30 21:55:01.609789502+00:00,12.936133,77.5187044,21.0,1.0,0,night,41.102746491666664,12.0,Medium
planned,construction,High,False,Unknown,Unknown,2024-01-30 20:56:01.732000+00:00,2024-01-31 09:05:46+00:00,12.9694079,77.7006346,20.0,1.0,0,night,729.7378,10.0,Medium
unplanned,vehicle_breakdown,High,False,Unknown,Unknown,2024-01-30 21:47:40.463000+00:00,2024-01-30 22:57:00.255561998+00:00,12.9849833,77.5883633,21.0,1.0,0,night,69.32987603333332,12.0,Medium
unplanned,vehicle_breakdown,High,False,Unknown,Unknown,2024-03-07 20:42:57.607000+00:00,2024-03-07 21:24:03.771789502+00:00,13.0127301,77.5545135,20.0,3.0,0,night,41.102746491666664,12.0,Medium
unplanned,road_conditions,Low,False,Unknown,Unknown,2024-01-30 21:54:56.083000+00:00,2024-01-30 22:56:12.701246998+00:00,12.9842019,77.7336286,21.0,1.0,0,night,61.27697078333333,7.0,Low
unplanned,vehicle_breakdown,Low,True,Unknown,Unknown,2024-01-30 19:36:33.702000+00:00,2024-01-30 20:17:39.866789502+00:00,13.2644465,77.7187627,19.0,1.0,0,evening_peak,41.102746491666664,16.0,High
unplanned,vehicle_breakdown,Low,False,Unknown,Unknown,2024-01-30 22:06:02.276000+00:00,2024-01-30 22:42:27.016248002+00:00,12.9848257,77.7527586,22.0,1.0,0,night,36.41233746666667,8.0,Low
unplanned,tree_fall,High,False,Unknown,Unknown,2024-03-07 20:51:39.532000+00:00,2024-03-09 03:10:44.241251998+00:00,12.9932986,77.5837571,20.0,3.0,0,night,1819.0784875333334,13.0,Medium
unplanned,tree_fall,High,False,Unknown,Unknown,2024-03-07 20:47:40.640000+00:00,2024-03-09 03:10:47.308122998+00:00,12.9937523,77.5842482,20.0,3.0,0,night,1823.1111353833332,13.0,Medium
unplanned,tree_fall,High,False,Unknown,Unknown,2024-03-07 20:45:19.752000+00:00,2024-03-09 03:10:58.037068998+00:00,12.9938868,77.5841876,20.0,3.0,0,night,1825.6380844833334,13.0,Medium
unplanned,vehicle_breakdown,High,False,Unknown,Unknown,2024-01-30 23:05:02.339000+00:00,2024-01-30 23:15:33.148167998+00:00,12.9368467,77.6928653,23.0,1.0,0,night,10.513486133333334,12.0,Medium
unplanned,tree_fall,Low,True,Unknown,Unknown,2024-03-07 20:53:37.293000+00:00,2024-03-23 05:38:25.456414002+00:00,13.0126766,77.5581246,20.0,3.0,0,night,22124.802723566667,14.0,Medium
unplanned,vehicle_breakdown,Low,False,Unknown,Unknown,2024-01-30 23:12:23.123000+00:00,2024-01-31 00:35:36.782613998+00:00,12.9513113,77.4994888,23.0,1.0,0,night,83.22766023333334,8.0,Low
unplanned,vehicle_breakdown,Low,False,Unknown,Unknown,2024-01-30 21:21:57.881000+00:00,2024-01-30 22:03:04.045789502+00:00,13.0160964,77.5068555,21.0,1.0,0,night,41.102746491666664,8.0,Low
unplanned,pot_holes,High,False,Unknown,Unknown,2024-03-07 21:05:54.697000+00:00,2024-03-16 07:08:06.929387998+00:00,12.9807501,77.6028238,21.0,3.0,0,night,12122.203873133334,9.0,Low
unplanned,tree_fall,Low,False,Unknown,Unknown,2024-03-07 20:58:06.297000+00:00,2024-03-08 02:19:20.587942002+00:00,12.9165983,77.583705,20.0,3.0,0,night,321.23818236666665,9.0,Low
unplanned,pot_holes,High,False,Unknown,Unknown,2024-01-31 01:04:36.275000+00:00,2024-02-08 11:06:48.507387998+00:00,13.0198619,77.6562235,1.0,2.0,0,night,12122.203873133334,7.0,Low
unplanned,pot_holes,High,False,Unknown,Unknown,2024-01-31 01:01:36.195000+00:00,2024-02-08 11:03:48.427387998+00:00,13.0191848,77.6555127,1.0,2.0,0,night,12122.203873133334,9.0,Low
unplanned,vehicle_breakdown,High,False,Unknown,Unknown,2024-01-31 00:33:27.663000+00:00,2024-01-31 01:17:38.964363+00:00,12.9740913,77.5452252,0.0,2.0,0,night,44.18835605,12.0,Medium
unplanned,vehicle_breakdown,High,False,Unknown,Unknown,2024-01-31 00:36:02.277000+00:00,2024-01-31 01:17:50.142637002+00:00,12.9740971,77.5449011,0.0,2.0,0,night,41.797760616666665,12.0,Medium
unplanned,vehicle_breakdown,Low,False,Unknown,Unknown,2024-01-31 01:24:44.373000+00:00,2024-01-31 01:50:53.884849002+00:00,12.9688926,77.569795,1.0,2.0,0,night,26.158530816666666,8.0,Low
unplanned,pot_holes,High,False,Unknown,Unknown,2024-01-30 23:46:07.351000+00:00,2024-02-05 23:45:54.337700002+00:00,12.9838737,77.5286068,23.0,1.0,0,night,8639.783111666668,9.0,Low
unplanned,others,Low,False,Unknown,Unknown,2024-01-30 23:23:41.783000+00:00,2024-02-14 06:53:06.703545002+00:00,12.9595586,77.5162093,23.0,1.0,0,night,20609.415342416665,5.0,Low
unplanned,vehicle_breakdown,Low,False,Unknown,Unknown,2024-01-30 22:39:37.276000+00:00,2024-01-30 23:20:43.440789502+00:00,12.9511354,77.5739687,22.0,1.0,0,night,41.102746491666664,8.0,Low
unplanned,vehicle_breakdown,Low,False,Unknown,Unknown,2024-01-30 23:11:03.886000+00:00,2024-01-30 23:52:10.050789502+00:00,13.0192138,77.5395595,23.0,1.0,0,night,41.102746491666664,8.0,Low
unplanned,pot_holes,Low,False,Unknown,Unknown,2024-03-07 21:11:51.734000+00:00,2024-03-11 21:05:57.351975998+00:00,12.9161187,77.5856548,21.0,3.0,0,night,5754.0936329333335,5.0,Low
unplanned,vehicle_breakdown,High,True,Unknown,Unknown,2024-01-30 23:18:30.880000+00:00,2024-01-30 23:59:37.044789502+00:00,12.9284355,77.6811918,23.0,1.0,0,night,41.102746491666664,17.0,High
unplanned,vehicle_breakdown,Low,False,Unknown,Unknown,2024-03-07 19:23:40.435000+00:00,2024-03-07 20:04:46.599789502+00:00,13.0753282,77.4370383,19.0,3.0,0,evening_peak,41.102746491666664,11.0,Medium
unplanned,vehicle_breakdown,Low,False,Unknown,Unknown,2024-03-07 19:23:25.400000+00:00,2024-03-07 20:04:31.564789502+00:00,13.2673624,77.7195893,19.0,3.0,0,evening_peak,41.102746491666664,11.0,Medium
unplanned,others,Low,False,Unknown,Unknown,2024-03-07 21:25:26.425000+00:00,2024-03-07 21:41:19.772509+00:00,12.9449039,77.4949618,21.0,3.0,0,night,15.88912515,5.0,Low
unplanned,tree_fall,Low,False,Unknown,Unknown,2024-03-07 21:17:00.312000+00:00,2024-03-07 23:13:49.030632+00:00,12.9873133,77.6163481,21.0,3.0,0,night,116.8119772,9.0,Low
planned,construction,High,False,Unknown,Unknown,2024-03-07 21:23:16.629000+00:00,2024-03-08 10:05:46.000000002+00:00,12.969418,77.7006526,21.0,3.0,0,night,762.4895166666666,10.0,Medium
unplanned,others,High,True,Unknown,Unknown,2024-03-07 21:14:45.233000+00:00,2024-03-17 02:20:28.972956002+00:00,12.9613232,77.5644194,21.0,3.0,0,night,13265.728999266667,14.0,Medium
unplanned,others,Low,False,Unknown,Unknown,2024-03-07 21:28:44.841000+00:00,2024-03-19 20:38:36.845638998+00:00,12.959419,77.5165897,21.0,3.0,0,night,17229.866743983333,5.0,Low
unplanned,pot_holes,Low,False,Unknown,Unknown,2024-03-07 21:25:14.206000+00:00,2024-04-07 20:38:13.654819+00:00,12.9431035,77.6220445,21.0,3.0,0,night,44592.990813649994,5.0,Low
unplanned,vehicle_breakdown,Low,False,Unknown,Unknown,2024-01-31 02:47:16.032000+00:00,2024-01-31 04:10:44.744401998+00:00,12.8482637,77.6713737,2.0,2.0,0,night,83.47854003333333,8.0,Low
unplanned,vehicle_breakdown,High,False,Unknown,Unknown,2024-01-31 05:03:24.794000+00:00,2024-01-31 05:56:09.888569+00:00,12.96672,77.6093294,5.0,2.0,0,night,52.75157615,12.0,Medium
unplanned,vehicle_breakdown,High,False,Unknown,Unknown,2024-03-07 21:35:50.715000+00:00,2024-03-07 22:50:40.247224002+00:00,13.0253205,77.6400845,21.0,3.0,0,night,74.82553706666666,12.0,Medium
unplanned,vehicle_breakdown,Low,False,Unknown,Unknown,2024-01-31 02:08:55.286000+00:00,2024-01-31 02:50:01.450789502+00:00,12.8561783,77.6645205,2.0,2.0,0,night,41.102746491666664,8.0,Low
unplanned,water_logging,High,False,Unknown,Unknown,2024-01-31 03:04:31.974000+00:00,2024-02-05 21:06:57.770431002+00:00,12.9641056,77.5825203,3.0,2.0,0,night,8282.429940516666,14.0,Medium
unplanned,vehicle_breakdown,High,False,Unknown,Unknown,2024-01-31 01:22:31.388000+00:00,2024-01-31 02:03:37.552789502+00:00,12.974757,77.5657216,1.0,2.0,0,night,41.102746491666664,12.0,Medium
unplanned,vehicle_breakdown,High,False,Unknown,Unknown,2024-01-31 01:45:45.370000+00:00,2024-01-31 02:26:51.534789502+00:00,12.9640011,77.5836093,1.0,2.0,0,night,41.102746491666664,12.0,Medium
unplanned,vehicle_breakdown,High,False,Unknown,Unknown,2024-01-31 04:21:01.833000+00:00,2024-01-31 05:08:43.227334002+00:00,12.9480512,77.5343585,4.0,2.0,0,night,47.68990556666667,12.0,Medium
unplanned,vehicle_breakdown,High,False,Unknown,Unknown,2024-01-31 03:31:13.977000+00:00,2024-01-31 04:12:20.141789502+00:00,12.9245654,77.6739287,3.0,2.0,0,night,41.102746491666664,12.0,Medium
unplanned,tree_fall,Low,False,Unknown,Unknown,2024-03-07 21:47:02.800000+00:00,2024-03-07 21:55:40.010876002+00:00,13.0078566,77.5920655,21.0,3.0,0,night,8.620181266666666,9.0,Low
unplanned,tree_fall,Low,True,Unknown,Unknown,2024-03-07 21:49:19.785000+00:00,2024-03-08 08:24:16.583497002+00:00,13.0035862,77.5721203,21.0,3.0,0,night,634.9466416166667,14.0,Medium
unplanned,others,High,False,Unknown,Unknown,2024-03-07 21:59:21.123000+00:00,2024-03-08 04:55:29.341143498+00:00,12.9854129,77.5941024,21.0,3.0,0,night,416.1369690583333,9.0,Low
unplanned,tree_fall,Low,True,Unknown,Unknown,2024-03-07 21:57:57.213000+00:00,2024-03-08 08:32:54.011497002+00:00,12.9272622,77.5806774,21.0,3.0,0,night,634.9466416166667,14.0,Medium
unplanned,tree_fall,Low,True,Unknown,Unknown,2024-03-07 21:37:11.187000+00:00,2024-03-13 23:38:21.570787998+00:00,13.0022504,77.5722138,21.0,3.0,0,night,8761.173063133332,14.0,Medium
unplanned,tree_fall,High,True,Unknown,Unknown,2024-03-07 21:34:37.863000+00:00,2024-03-17 02:20:25.340422002+00:00,12.9586724,77.5629452,21.0,3.0,0,night,13245.791290366667,18.0,High
unplanned,vehicle_breakdown,High,False,Unknown,Unknown,2024-01-31 03:11:13.623000+00:00,2024-01-31 03:52:19.787789502+00:00,13.0369808,77.5895122,3.0,2.0,0,night,41.102746491666664,12.0,Medium
unplanned,vehicle_breakdown,Low,False,Unknown,Unknown,2024-01-31 03:23:09.510000+00:00,2024-01-31 04:04:15.674789502+00:00,12.9169077,77.5737827,3.0,2.0,0,night,41.102746491666664,8.0,Low
unplanned,pot_holes,High,False,Unknown,Unknown,2024-03-07 22:01:11.729000+00:00,2024-03-16 08:03:23.961387998+00:00,12.9047066,77.6016042,22.0,3.0,0,night,12122.203873133334,9.0,Low
unplanned,pot_holes,High,False,Unknown,Unknown,2024-03-07 22:02:40.027000+00:00,2024-03-16 08:04:52.259387998+00:00,12.9047995,77.6017019,22.0,3.0,0,night,12122.203873133334,9.0,Low
unplanned,water_logging,High,False,Unknown,Unknown,2024-03-07 22:06:56.368000+00:00,2024-03-10 11:35:16.213295002+00:00,12.9774707,77.5457303,22.0,3.0,0,night,3688.3307549166666,14.0,Medium
unplanned,pot_holes,High,False,Unknown,Unknown,2024-03-07 22:07:52.537000+00:00,2024-03-16 08:10:04.769387998+00:00,12.904781,77.6015741,22.0,3.0,0,night,12122.203873133334,9.0,Low
unplanned,vehicle_breakdown,High,False,Unknown,Unknown,2024-01-31 05:41:26.253000+00:00,2024-01-31 08:02:27.928045998+00:00,12.9238693,77.5536044,5.0,2.0,0,night,141.02791743333333,12.0,Medium
unplanned,others,Low,False,Unknown,Unknown,2024-01-31 07:26:39.082000+00:00,2024-01-31 14:22:47.300143498+00:00,12.9585656,77.5932824,7.0,2.0,0,night,416.1369690583333,5.0,Low
unplanned,tree_fall,High,False,Unknown,Unknown,2024-03-07 22:16:53.889000+00:00,2024-03-17 02:20:18.871464+00:00,12.9601533,77.5633429,22.0,3.0,0,night,13203.4163744,13.0,Medium
unplanned,tree_fall,Low,False,Unknown,Unknown,2024-03-07 22:08:18.693000+00:00,2024-03-17 02:20:21.257176998+00:00,12.9578001,77.5631189,22.0,3.0,0,night,13212.042736283332,9.0,Low
unplanned,vehicle_breakdown,Low,False,Unknown,Unknown,2024-03-07 22:28:07.464000+00:00,2024-03-07 23:09:13.628789502+00:00,12.95836,77.5776317,22.0,3.0,0,night,41.102746491666664,8.0,Low
unplanned,pot_holes,High,False,South Zone 2,SilkBoardJunc,2023-12-16 02:15:10.244000+00:00,2024-04-13 01:11:51.740711+00:00,12.9187567,77.621505,2.0,5.0,1,night,171296.69161185002,9.0,Low
unplanned,construction,High,False,Unknown,Unknown,2024-03-07 22:40:56.720000+00:00,2024-03-08 07:46:19.124181002+00:00,13.0331905,77.5901915,22.0,3.0,0,night,545.3734030166667,10.0,Medium
unplanned,vehicle_breakdown,Low,True,Unknown,Unknown,2024-03-07 20:31:07.587000+00:00,2024-03-07 21:12:13.751789502+00:00,12.9360494,77.6154975,20.0,3.0,0,night,41.102746491666664,13.0,Medium
unplanned,water_logging,High,False,Unknown,Unknown,2024-03-07 22:55:04.919000+00:00,2024-03-10 12:23:24.764295002+00:00,12.9784088,77.6285392,22.0,3.0,0,night,3688.3307549166666,14.0,Medium
unplanned,pot_holes,Low,False,Unknown,Unknown,2024-03-07 22:33:02.896000+00:00,2024-03-16 08:35:15.128387998+00:00,12.9873237,77.6037885,22.0,3.0,0,night,12122.203873133334,5.0,Low
unplanned,vehicle_breakdown,High,False,Unknown,Unknown,2024-03-07 22:48:31.761000+00:00,2024-03-07 23:29:37.925789502+00:00,13.0190323,77.654465,22.0,3.0,0,night,41.102746491666664,12.0,Medium
unplanned,congestion,High,False,Unknown,Unknown,2024-01-31 05:48:22.545000+00:00,2024-01-31 06:59:54.663769002+00:00,13.0446713,77.5828869,5.0,2.0,0,night,71.53531281666667,14.0,Medium
unplanned,vehicle_breakdown,High,False,Unknown,Unknown,2024-01-31 06:15:45.828000+00:00,2024-01-31 06:56:51.992789502+00:00,12.9119892,77.6254956,6.0,2.0,0,night,41.102746491666664,12.0,Medium
unplanned,vehicle_breakdown,High,False,Unknown,Unknown,2024-01-31 05:56:24.296000+00:00,2024-01-31 06:37:30.460789502+00:00,12.9893579,77.5064443,5.0,2.0,0,night,41.102746491666664,12.0,Medium
unplanned,vehicle_breakdown,High,False,Unknown,Unknown,2024-03-07 19:49:46.025000+00:00,2024-03-07 20:30:52.189789502+00:00,13.0152581,77.5639687,19.0,3.0,0,evening_peak,41.102746491666664,15.0,High
unplanned,tree_fall,Low,True,Unknown,Unknown,2024-03-07 23:06:49.704000+00:00,2024-03-08 00:08:37.381719+00:00,12.9392829,77.5596125,23.0,3.0,0,night,61.79462865,14.0,Medium
unplanned,vehicle_breakdown,High,False,Unknown,Unknown,2024-01-31 08:57:24.573000+00:00,2024-01-31 10:39:45.991392+00:00,12.9614398,77.5600867,8.0,2.0,0,morning_peak,102.3569732,15.0,High
unplanned,vehicle_breakdown,High,False,Unknown,Unknown,2024-01-31 08:05:37.513000+00:00,2024-01-31 08:46:43.677789502+00:00,12.9194445,77.6215536,8.0,2.0,0,morning_peak,41.102746491666664,15.0,High
unplanned,construction,Low,False,Unknown,Unknown,2024-01-31 11:11:49.384000+00:00,2024-01-31 23:18:22.371999999+00:00,13.0501731,77.4947759,11.0,2.0,0,midday,726.5498,7.5,Low
unplanned,accident,Low,False,Unknown,Unknown,2024-01-31 16:11:31.242000+00:00,2024-01-31 16:53:13.535344500+00:00,12.8400906,77.6764868,16.0,2.0,0,midday,41.704889075,12.5,Medium
unplanned,accident,High,False,Unknown,Unknown,2024-01-31 19:13:08.144000+00:00,2024-01-31 19:54:50.437344500+00:00,13.042636,77.5147881,19.0,2.0,0,evening_peak,41.704889075,18.0,High
